LocationID,zone,borough,latitude,longitude
1,Newark Airport,EWR,40.689488139614994,-74.17152567596138
2,Jamaica Bay,Queens,40.610791067293356,-73.82248951361693
3,Allerton/Pelham Gardens,Bronx,40.865745431551126,-73.8449466422813
4,Alphabet City,Manhattan,40.72413720786238,-73.97772562994714
5,Arden Heights,Staten Island,40.55066537440838,-74.18753677053789
6,Arrochar/Fort Wadsworth,Staten Island,40.59904685658462,-74.07256367951013
7,Astoria,Queens,40.76108186554351,-73.92031477248251
8,Astoria Park,Queens,40.77862588146737,-73.92312225146479
9,Auburndale,Queens,40.75432771219846,-73.7864908458439
10,Baisley Park,Queens,40.67825239491566,-73.78899813157558
11,Bath Beach,Brooklyn,40.60401449921973,-74.007510449703
12,Battery Park,Manhattan,40.70249696061747,-74.01572587059847
13,Battery Park City,Manhattan,40.711534654299,-74.0158919069822
14,Bay Ridge,Brooklyn,40.62359258557068,-74.02852008938801
15,Bay Terrace/Fort Totten,Queens,40.78488539626116,-73.78525185967825
16,Bayside,Queens,40.76122069617673,-73.77473937264739
17,Bedford,Brooklyn,40.691780230810245,-73.95068606511312
18,Bedford Park,Bronx,40.868678786045926,-73.89126978543936
19,Bellerose,Queens,40.73674328423478,-73.72858190313416
20,Belmont,Bronx,40.857742168079604,-73.8861961357746
21,Bensonhurst East,Brooklyn,40.60199502260022,-73.98585700957061
22,Bensonhurst West,Brooklyn,40.609681462062035,-73.9950716926507
23,Bloomfield/Emerson Hill,Staten Island,40.60751363416179,-74.16048830961626
24,Bloomingdale,Manhattan,40.80191580520843,-73.96552225569732
25,Boerum Hill,Brooklyn,40.68571943444145,-73.98647182471841
26,Borough Park,Brooklyn,40.628601627934195,-73.99012657853419
27,Breezy Point/Fort Tilden/Riis Beach,Queens,40.558946435494285,-73.90170546963151
28,Briarwood/Jamaica Hills,Queens,40.71075352720881,-73.80834608449645
29,Brighton Beach,Brooklyn,40.58251439846488,-73.9606195853329
30,Broad Channel,Queens,40.60490815772557,-73.82479343526859
31,Bronx Park,Bronx,40.860019378140095,-73.87609995460816
32,Bronxdale,Bronx,40.86438044535024,-73.8638466497724
33,Brooklyn Heights,Brooklyn,40.69625709603423,-73.99602138646641
34,Brooklyn Navy Yard,Brooklyn,40.702508451198185,-73.97231913450327
35,Brownsville,Brooklyn,40.663806528940306,-73.91258943439885
36,Bushwick North,Brooklyn,40.69897492770378,-73.91757444782695
37,Bushwick South,Brooklyn,40.6962982868561,-73.92041795172373
38,Cambria Heights,Queens,40.69336939864146,-73.73675716262328
39,Canarsie,Brooklyn,40.63886440850684,-73.89854833878215
40,Carroll Gardens,Brooklyn,40.6785419696015,-73.99525847712623
41,Central Harlem,Manhattan,40.804176390593334,-73.95070948680674
42,Central Harlem North,Manhattan,40.82096857755331,-73.94296152760926
43,Central Park,Manhattan,40.782430926890406,-73.96543784456627
44,Charleston/Tottenville,Staten Island,40.52730921905213,-74.23063314720392
45,Chinatown,Manhattan,40.71298223302275,-73.99883403697207
46,City Island,Bronx,40.84747322730711,-73.77944082656659
47,Claremont/Bathgate,Bronx,40.845318843421836,-73.90038604462767
48,Clinton East,Manhattan,40.7622488195133,-73.98983666003255
49,Clinton Hill,Brooklyn,40.68876588630337,-73.96170387321409
50,Clinton West,Manhattan,40.7665684548724,-73.99591049612351
51,Co-Op City,Bronx,40.87344183015385,-73.82951042814729
52,Cobble Hill,Brooklyn,40.68645905188364,-73.99650571586444
53,College Point,Queens,40.7819924596776,-73.847189686231
54,Columbia Street,Brooklyn,40.686850096902596,-74.00497292925259
55,Coney Island,Brooklyn,40.57708743286506,-73.98621060625551
56,Corona,Queens,40.741565129886304,-73.85770933462227
57,Corona,Queens,40.75197999156667,-73.8533470195439
58,Country Club,Bronx,40.84149345076036,-73.81897982663966
59,Crotona Park,Bronx,40.83893229471981,-73.89390943434059
60,Crotona Park East,Bronx,40.831337037766524,-73.88497942629185
61,Crown Heights North,Brooklyn,40.673973486023726,-73.94241783382385
62,Crown Heights South,Brooklyn,40.66727684239473,-73.94563602053147
63,Cypress Hills,Brooklyn,40.68471024638148,-73.88253992751501
64,Douglaston,Queens,40.76064351117116,-73.73637252009019
65,Downtown Brooklyn/MetroTech,Brooklyn,40.69535030061429,-73.98530022496767
66,DUMBO/Vinegar Hill,Brooklyn,40.70170429569456,-73.98725069214528
67,Dyker Heights,Brooklyn,40.618415533070184,-74.01239309414021
68,East Chelsea,Manhattan,40.748431610426714,-73.99991914701923
69,East Concourse/Concourse Village,Bronx,40.83060601610416,-73.91616768323327
70,East Elmhurst,Queens,40.764190708061136,-73.86543993416028
71,East Flatbush/Farragut,Brooklyn,40.644187230944894,-73.93707471913244
72,East Flatbush/Remsen Village,Brooklyn,40.65265005396983,-73.92023427688835
73,East Flushing,Queens,40.75376974805713,-73.8077109074101
74,East Harlem North,Manhattan,40.80561328542312,-73.93740476037416
75,East Harlem South,Manhattan,40.79047880983552,-73.94541491745656
76,East New York,Brooklyn,40.658825172371856,-73.88256704072369
77,East New York/Pennsylvania Avenue,Brooklyn,40.667143776405915,-73.89266829860459
78,East Tremont,Bronx,40.84606230876606,-73.88202178031946
79,East Village,Manhattan,40.72795368697705,-73.98531513309665
80,East Williamsburg,Brooklyn,40.71445006634627,-73.93711249726206
81,Eastchester,Bronx,40.87739429522658,-73.82332624622698
82,Elmhurst,Queens,40.7384750605044,-73.87811290468368
83,Elmhurst/Maspeth,Queens,40.740163399388905,-73.89387458870331
84,Eltingville/Annadale/Prince's Bay,Staten Island,40.532023984716275,-74.19046128168661
85,Erasmus,Brooklyn,40.64700889112937,-73.95220965266294
86,Far Rockaway,Queens,40.60257135564641,-73.75590395846024
87,Financial District North,Manhattan,40.70665880355083,-74.0072389625047
88,Financial District South,Manhattan,40.70327966853385,-74.01101072209408
89,Flatbush/Ditmas Park,Brooklyn,40.640803580343324,-73.96065378984527
90,Flatiron,Manhattan,40.74228299733357,-73.99697141070173
91,Flatlands,Brooklyn,40.627953259462636,-73.93210808365768
92,Flushing,Queens,40.764359910582776,-73.82739320571693
93,Flushing Meadows-Corona Park,Queens,40.73919972200009,-73.83917409870772
94,Fordham South,Bronx,40.85833037944795,-73.89836197991809
95,Forest Hills,Queens,40.72269538208136,-73.84591152612717
96,Forest Park/Highland Park,Queens,40.695782560757316,-73.86939014704775
97,Fort Greene,Brooklyn,40.69012637922412,-73.97619514474306
98,Fresh Meadows,Queens,40.73406939816184,-73.77659555545212
99,Freshkills Park,Staten Island,40.57942085307101,-74.18839085732925
100,Garment District,Manhattan,40.75351008701408,-73.988790956546
101,Glen Oaks,Queens,40.74353860213266,-73.71448463202205
102,Glendale,Queens,40.702663927252694,-73.8762679664206
103,Governor's Island/Ellis Island/Liberty Island,Manhattan,40.689819464504794,-74.04514159353381
104,Governor's Island/Ellis Island/Liberty Island,Manhattan,40.69867184431501,-74.04069250330504
105,Governor's Island/Ellis Island/Liberty Island,Manhattan,40.688135356380926,-74.01918941324507
106,Gowanus,Brooklyn,40.67325801987311,-73.99018846511946
107,Gramercy,Manhattan,40.73733753030078,-73.98401556048022
108,Gravesend,Brooklyn,40.58891733444415,-73.98281706359892
109,Great Kills,Staten Island,40.54909587378896,-74.15073694792966
110,Great Kills Park,Staten Island,40.543294401812354,-74.12701095260066
111,Green-Wood Cemetery,Brooklyn,40.65189436056767,-73.99121725446571
112,Greenpoint,Brooklyn,40.728790329580285,-73.94817917085089
113,Greenwich Village North,Manhattan,40.73222524862839,-73.99496764762726
114,Greenwich Village South,Manhattan,40.728532928663896,-73.99718270855969
115,Grymes Hill/Clifton,Staten Island,40.6201202245938,-74.08732468086055
116,Hamilton Heights,Manhattan,40.82764307424762,-73.94909777742556
117,Hammels/Arverne,Queens,40.59608315357857,-73.79020366103762
118,Heartland Village/Todt Hill,Staten Island,40.58567488593259,-74.13021307778571
